
2 Mio;1521;1469;1474;1503;1497;1492;1483;1470;1489;1492
4 Mio;3039;3022;3030;3040;3025;3056;2992;3008;3041;3016
6 Mio;4711;4676;4663;4641;4589;4620;4682;4697;4724;4618
8 Mio;6847;6200;6378;6496;6190;6162;5902;5922;6131;6097
