
2 Mio;2086;2151;2603;2129;2163;2658;2106;2189;2738;2195
4 Mio;4129;3448;3403;3667;3663;3915;3575;3480;3915;3233
6 Mio;4260;3680;3644;3683;4047;3513;3594;3642;4041;3711
8 Mio;4161;4730;4037;4212;4189;4659;4306;4218;4145;4760
