
2 Mio;109;93;91;80;80;83;85;84;85;87
4 Mio;189;165;173;168;174;158;177;186;162;167
6 Mio;271;248;234;235;241;282;231;235;249;245
8 Mio;346;310;328;310;327;312;318;309;302;313
