
2 Mio;111;93;95;90;98;91;100;90;89;96
4 Mio;199;177;191;180;174;176;173;174;204;172
6 Mio;335;262;256;271;265;259;267;273;259;261
8 Mio;401;348;360;346;358;351;338;361;349;338
10 Mio;1226;1285;1606;649;417;782;465;419;426;428
