
2 Mio;2587;2755;2053;1937;1998;2071;2066;1981;2028;2036
4 Mio;4268;3316;3438;3701;3079;3447;3492;3669;2971;3323
6 Mio;4695;3922;3560;3662;3582;3611;3665;4090;4077;4282
8 Mio;5296;4563;4645;4187;4737;4816;4728;4151;4685;4209
10 Mio;5718;5912;6244;4961;5785;6074;5434;6216;5781;5701
